file,instance,method,obj,route,time,congestion,elapsed time,evaluated solutions
config_{04-01-01}_{06-02}_01_decomposedRandom_20250831T073825342.log,{04-01-01}_{06-02}_01,decomposedRandom,323.61072382,132.43,191.18,0.00,7.18,1
config_{04-01-01}_{06-02}_01_localRefinement_20250831T191029375.log,{04-01-01}_{06-02}_01,localRefinement,323.61072382,132.43,191.18,0.00,6.47,1
config_{04-01-01}_{06-02}_02_decomposedNeighborhoodSearch_20250831T072453956.log,{04-01-01}_{06-02}_02,decomposedNeighborhoodSearch,338.56669997,151.04,187.53,0.00,4.50,1
config_{04-01-01}_{06-02}_02_decomposedRandom_20250831T074555915.log,{04-01-01}_{06-02}_02,decomposedRandom,338.56669997,151.04,187.53,0.00,5.15,1
config_{04-01-01}_{06-02}_02_localRefinement_20250831T191032098.log,{04-01-01}_{06-02}_02,localRefinement,338.56669997,151.04,187.53,0.00,4.45,1
config_{04-01-01}_{06-02}_03_decomposedNeighborhoodSearch_20250831T072555610.log,{04-01-01}_{06-02}_03,decomposedNeighborhoodSearch,165.01941229,105.64,59.38,0.00,7.10,1
config_{04-01-01}_{06-02}_03_decomposedRandom_20250831T075449344.log,{04-01-01}_{06-02}_03,decomposedRandom,165.01941229,105.64,59.38,0.00,7.95,1
config_{04-01-01}_{06-02}_03_localRefinement_20250831T191032141.log,{04-01-01}_{06-02}_03,localRefinement,165.01941229,105.64,59.38,0.00,7.10,1
config_{04-01-01}_{06-02}_04_decomposedNeighborhoodSearch_20250831T074135390.log,{04-01-01}_{06-02}_04,decomposedNeighborhoodSearch,147.71197532,108.67,39.04,0.00,4.36,1
config_{04-01-01}_{06-02}_04_decomposedRandom_20250831T081234904.log,{04-01-01}_{06-02}_04,decomposedRandom,147.71197532,108.67,39.04,0.00,4.04,1
config_{04-01-01}_{06-02}_04_localRefinement_20250831T201029962.log,{04-01-01}_{06-02}_04,localRefinement,147.71197532,108.67,39.04,0.00,4.49,1
config_{04-01-01}_{06-02}_05_decomposedNeighborhoodSearch_20250831T082422791.log,{04-01-01}_{06-02}_05,decomposedNeighborhoodSearch,307.55923869,153.35,154.21,0.00,6.96,1
config_{04-01-01}_{06-02}_05_decomposedRandom_20250831T083827152.log,{04-01-01}_{06-02}_05,decomposedRandom,307.55923869,153.35,154.21,0.00,6.29,1
config_{04-01-01}_{06-02}_05_localRefinement_20250831T201030068.log,{04-01-01}_{06-02}_05,localRefinement,307.55923869,153.35,154.21,0.00,5.95,1
config_{06-00-03}_{06-03}_01_decomposedNeighborhoodSearch_20250831T032452935.log,{06-00-03}_{06-03}_01,decomposedNeighborhoodSearch,122.67071694,63.08,59.59,0.00,1.25,1
config_{06-00-03}_{06-03}_01_decomposedRandom_20250831T034555129.log,{06-00-03}_{06-03}_01,decomposedRandom,122.67071694,63.08,59.59,0.00,1.35,1
config_{06-00-03}_{06-03}_01_localRefinement_20250831T151027400.log,{06-00-03}_{06-03}_01,localRefinement,122.67071694,63.08,59.59,0.00,1.14,1
config_{06-00-03}_{06-03}_02_decomposedNeighborhoodSearch_20250831T032553062.log,{06-00-03}_{06-03}_02,decomposedNeighborhoodSearch,114.29318171,45.02,69.27,0.00,1.21,1
config_{06-00-03}_{06-03}_02_decomposedRandom_20250831T035448325.log,{06-00-03}_{06-03}_02,decomposedRandom,114.29318171,45.02,69.27,0.00,1.09,1
config_{06-00-03}_{06-03}_02_localRefinement_20250831T151027422.log,{06-00-03}_{06-03}_02,localRefinement,114.29318171,45.02,69.27,0.00,1.10,1
config_{06-00-03}_{06-03}_03_decomposedNeighborhoodSearch_20250831T034132792.log,{06-00-03}_{06-03}_03,decomposedNeighborhoodSearch,116.93704515,56.74,60.19,0.00,3.95,1
config_{06-00-03}_{06-03}_03_decomposedRandom_20250831T041233300.log,{06-00-03}_{06-03}_03,decomposedRandom,116.93704515,56.74,60.19,0.00,3.94,1
config_{06-00-03}_{06-03}_03_localRefinement_20250831T161027407.log,{06-00-03}_{06-03}_03,localRefinement,116.93704515,56.74,60.19,0.00,3.76,1
config_{06-00-03}_{06-03}_04_decomposedNeighborhoodSearch_20250831T042419412.log,{06-00-03}_{06-03}_04,decomposedNeighborhoodSearch,126.72051441,45.67,81.05,0.00,1.37,1
config_{06-00-03}_{06-03}_04_decomposedRandom_20250831T043823881.log,{06-00-03}_{06-03}_04,decomposedRandom,126.72051441,45.67,81.05,0.00,1.33,1
config_{06-00-03}_{06-03}_04_localRefinement_20250831T161027516.log,{06-00-03}_{06-03}_04,localRefinement,126.72051441,45.67,81.05,0.00,1.27,1
config_{06-00-03}_{06-03}_05_decomposedNeighborhoodSearch_20250831T042453462.log,{06-00-03}_{06-03}_05,decomposedNeighborhoodSearch,92.74421117,56.13,36.61,0.00,2.83,1
config_{06-00-03}_{06-03}_05_decomposedRandom_20250831T044555225.log,{06-00-03}_{06-03}_05,decomposedRandom,92.74421117,56.13,36.61,0.00,2.63,1
config_{06-00-03}_{06-03}_05_localRefinement_20250831T161027624.log,{06-00-03}_{06-03}_05,localRefinement,92.74421117,56.13,36.61,0.00,2.25,1
config_{08-00-04}_{06-04}_01_decomposedNeighborhoodSearch_20250831T042553587.log,{08-00-04}_{06-04}_01,decomposedNeighborhoodSearch,143.50523223,78.10,65.41,0.00,3.04,1
config_{08-00-04}_{06-04}_01_decomposedRandom_20250831T045448407.log,{08-00-04}_{06-04}_01,decomposedRandom,143.50523223,78.10,65.41,0.00,3.06,1
config_{08-00-04}_{06-04}_01_localRefinement_20250831T161030375.log,{08-00-04}_{06-04}_01,localRefinement,143.50523223,78.10,65.41,0.00,2.79,1
config_{08-00-04}_{06-04}_02_decomposedNeighborhoodSearch_20250831T044133059.log,{08-00-04}_{06-04}_02,decomposedNeighborhoodSearch,136.68911328,82.60,54.09,0.00,2.23,1
config_{08-00-04}_{06-04}_02_decomposedRandom_20250831T051233951.log,{08-00-04}_{06-04}_02,decomposedRandom,136.68911328,82.60,54.09,0.00,2.16,1
config_{08-00-04}_{06-04}_02_localRefinement_20250831T171027806.log,{08-00-04}_{06-04}_02,localRefinement,136.68911328,82.60,54.09,0.00,2.27,1
config_{08-00-04}_{06-04}_03_decomposedNeighborhoodSearch_20250831T052419980.log,{08-00-04}_{06-04}_03,decomposedNeighborhoodSearch,143.75224973,75.62,68.13,0.00,10.99,1
config_{08-00-04}_{06-04}_03_decomposedRandom_20250831T053824392.log,{08-00-04}_{06-04}_03,decomposedRandom,143.75224973,75.62,68.13,0.00,11.53,1
config_{08-00-04}_{06-04}_03_localRefinement_20250831T171027876.log,{08-00-04}_{06-04}_03,localRefinement,143.75224973,75.62,68.13,0.00,13.23,1
config_{08-00-04}_{06-04}_04_decomposedNeighborhoodSearch_20250831T052453518.log,{08-00-04}_{06-04}_04,decomposedNeighborhoodSearch,159.07776181,83.01,76.07,0.00,2.53,1
config_{08-00-04}_{06-04}_04_decomposedRandom_20250831T054555409.log,{08-00-04}_{06-04}_04,decomposedRandom,159.07776181,83.01,76.07,0.00,2.73,1
config_{08-00-04}_{06-04}_04_localRefinement_20250831T171030807.log,{08-00-04}_{06-04}_04,localRefinement,159.07776181,83.01,76.07,0.00,2.77,1
config_{08-00-04}_{06-04}_05_decomposedNeighborhoodSearch_20250831T052554347.log,{08-00-04}_{06-04}_05,decomposedNeighborhoodSearch,155.03973480,84.62,70.42,0.00,2.16,1
config_{08-00-04}_{06-04}_05_decomposedRandom_20250831T055448641.log,{08-00-04}_{06-04}_05,decomposedRandom,155.03973480,84.62,70.42,0.00,2.04,1
config_{08-00-04}_{06-04}_05_localRefinement_20250831T171030895.log,{08-00-04}_{06-04}_05,localRefinement,155.03973480,84.62,70.42,0.00,2.18,1
config_{08-02-02}_{06-04}_01_decomposedNeighborhoodSearch_20250831T082455433.log,{08-02-02}_{06-04}_01,decomposedNeighborhoodSearch,669.02320264,417.49,251.54,0.00,147.91,1
config_{08-02-02}_{06-04}_01_decomposedRandom_20250831T084556852.log,{08-02-02}_{06-04}_01,decomposedRandom,669.02320264,417.49,251.54,0.00,120.39,1
config_{08-02-02}_{06-04}_01_localRefinement_20250831T201032788.log,{08-02-02}_{06-04}_01,localRefinement,669.02320264,417.49,251.54,0.00,131.78,1
config_{08-02-02}_{06-04}_02_decomposedNeighborhoodSearch_20250831T082556019.log,{08-02-02}_{06-04}_02,decomposedNeighborhoodSearch,875.64707764,415.64,460.01,0.00,21.33,1
config_{08-02-02}_{06-04}_02_decomposedRandom_20250831T085450027.log,{08-02-02}_{06-04}_02,decomposedRandom,875.64707764,415.64,460.01,0.00,24.50,1
config_{08-02-02}_{06-04}_02_localRefinement_20250831T201033074.log,{08-02-02}_{06-04}_02,localRefinement,875.64707764,415.64,460.01,0.00,21.27,1
config_{08-02-02}_{06-04}_03_decomposedNeighborhoodSearch_20250831T084135648.log,{08-02-02}_{06-04}_03,decomposedNeighborhoodSearch,615.18325638,399.18,216.00,0.00,31.22,1
config_{08-02-02}_{06-04}_03_decomposedRandom_20250831T091235049.log,{08-02-02}_{06-04}_03,decomposedRandom,615.18325638,399.18,216.00,0.00,43.27,1
config_{08-02-02}_{06-04}_03_localRefinement_20250831T211030679.log,{08-02-02}_{06-04}_03,localRefinement,615.18325638,399.18,216.00,0.00,35.89,1
config_{08-02-02}_{06-04}_04_decomposedNeighborhoodSearch_20250831T092423618.log,{08-02-02}_{06-04}_04,decomposedNeighborhoodSearch,872.76363797,432.56,440.20,0.00,114.67,1
config_{08-02-02}_{06-04}_04_decomposedRandom_20250831T093829279.log,{08-02-02}_{06-04}_04,decomposedRandom,872.76363797,432.56,440.20,0.00,120.62,1
config_{08-02-02}_{06-04}_04_localRefinement_20250831T211030800.log,{08-02-02}_{06-04}_04,localRefinement,872.76363797,432.56,440.20,0.00,100.30,1
config_{08-02-02}_{06-04}_05_decomposedNeighborhoodSearch_20250831T092455689.log,{08-02-02}_{06-04}_05,decomposedNeighborhoodSearch,673.31434578,401.50,271.81,0.00,63.43,1
config_{08-02-02}_{06-04}_05_decomposedRandom_20250831T094557808.log,{08-02-02}_{06-04}_05,decomposedRandom,673.31434578,401.50,271.81,0.00,80.79,1
config_{08-02-02}_{06-04}_05_localRefinement_20250831T211036248.log,{08-02-02}_{06-04}_05,localRefinement,673.31434578,401.50,271.81,0.00,55.93,1
config_{10-00-05}_{06-05}_01_decomposedNeighborhoodSearch_20250831T054134071.log,{10-00-05}_{06-05}_01,decomposedNeighborhoodSearch,168.03982888,104.20,63.84,0.00,6.30,1
config_{10-00-05}_{06-05}_01_decomposedRandom_20250831T061234021.log,{10-00-05}_{06-05}_01,decomposedRandom,168.03982888,104.20,63.84,0.00,5.25,1
config_{10-00-05}_{06-05}_01_localRefinement_20250831T181028283.log,{10-00-05}_{06-05}_01,localRefinement,168.03982888,104.20,63.84,0.00,5.20,1
config_{10-00-05}_{06-05}_02_decomposedNeighborhoodSearch_20250831T062420341.log,{10-00-05}_{06-05}_02,decomposedNeighborhoodSearch,197.35531183,104.86,92.49,0.00,8.29,1
config_{10-00-05}_{06-05}_02_decomposedRandom_20250831T063825236.log,{10-00-05}_{06-05}_02,decomposedRandom,197.35531183,104.86,92.49,0.00,7.39,1
config_{10-00-05}_{06-05}_02_localRefinement_20250831T181028355.log,{10-00-05}_{06-05}_02,localRefinement,197.35531183,104.86,92.49,0.00,8.67,1
config_{10-00-05}_{06-05}_03_decomposedNeighborhoodSearch_20250831T062453746.log,{10-00-05}_{06-05}_03,decomposedNeighborhoodSearch,156.32958883,107.68,48.65,0.00,4.40,1
config_{10-00-05}_{06-05}_03_decomposedRandom_20250831T064555481.log,{10-00-05}_{06-05}_03,decomposedRandom,156.32958883,107.68,48.65,0.00,4.74,1
config_{10-00-05}_{06-05}_03_localRefinement_20250831T181031265.log,{10-00-05}_{06-05}_03,localRefinement,156.32958883,107.68,48.65,0.00,4.68,1
config_{10-00-05}_{06-05}_04_decomposedNeighborhoodSearch_20250831T062554716.log,{10-00-05}_{06-05}_04,decomposedNeighborhoodSearch,180.29233119,103.65,76.65,0.00,4.71,1
config_{10-00-05}_{06-05}_04_decomposedRandom_20250831T065448732.log,{10-00-05}_{06-05}_04,decomposedRandom,180.29233119,103.65,76.65,0.00,4.73,1
config_{10-00-05}_{06-05}_04_localRefinement_20250831T181031340.log,{10-00-05}_{06-05}_04,localRefinement,180.29233119,103.65,76.65,0.00,5.24,1
config_{10-00-05}_{06-05}_05_decomposedNeighborhoodSearch_20250831T064134996.log,{10-00-05}_{06-05}_05,decomposedNeighborhoodSearch,231.07773642,126.86,104.21,0.00,22.02,1
config_{10-00-05}_{06-05}_05_decomposedRandom_20250831T071234229.log,{10-00-05}_{06-05}_05,decomposedRandom,231.07773642,126.86,104.21,0.00,25.04,1
config_{10-00-05}_{06-05}_05_localRefinement_20250831T191029014.log,{10-00-05}_{06-05}_05,localRefinement,231.07773642,126.86,104.21,0.00,23.16,1
