file,instance,method,obj,route,time,congestion,elapsed time,evaluated solutions
config_{12-00-06}_{06-06}_03_decomposedRandom_20250904T012510656.log,{12-00-06}_{06-06}_03,decomposedRandom,326.96103498,171.77,155.19,0.00,7.84,1
config_{12-00-06}_{06-06}_03_localRefinement_20250904T012526475.log,{12-00-06}_{06-06}_03,localRefinement,326.96103498,171.77,155.19,0.00,8.03,1
config_{12-00-06}_{06-06}_04_decomposedNeighborhoodSearch_20250905T000422735.log,{12-00-06}_{06-06}_04,decomposedNeighborhoodSearch,220.33714198,139.46,80.88,0.00,7.26,1
config_{12-00-06}_{06-06}_04_decomposedRandom_20250904T012510707.log,{12-00-06}_{06-06}_04,decomposedRandom,220.33714198,139.46,80.88,0.00,7.81,1
config_{12-00-06}_{06-06}_04_localRefinement_20250904T012526857.log,{12-00-06}_{06-06}_04,localRefinement,220.33714198,139.46,80.88,0.00,8.12,1
config_{12-00-06}_{06-06}_05_decomposedNeighborhoodSearch_20250905T003458823.log,{12-00-06}_{06-06}_05,decomposedNeighborhoodSearch,225.72616502,164.92,60.81,0.00,3.49,1
config_{12-00-06}_{06-06}_05_decomposedRandom_20250904T022511003.log,{12-00-06}_{06-06}_05,decomposedRandom,225.72616502,164.92,60.81,0.00,4.22,1
config_{12-00-06}_{06-06}_05_localRefinement_20250904T022527768.log,{12-00-06}_{06-06}_05,localRefinement,225.72616502,164.92,60.81,0.00,3.69,1
config_{14-00-07}_{06-07}_01_decomposedNeighborhoodSearch_20251018T123557830.log,{14-00-07}_{06-07}_01,decomposedNeighborhoodSearch,328.47559343,193.23,135.25,0.00,15.86,1
config_{14-00-07}_{06-07}_01_decomposedRandom_20251018T123823522.log,{14-00-07}_{06-07}_01,decomposedRandom,328.47559343,193.23,135.25,0.00,17.42,1
config_{14-00-07}_{06-07}_01_localRefinement_20251018T155117454.log,{14-00-07}_{06-07}_01,localRefinement,328.47559343,193.23,135.25,0.00,12.44,1
config_{14-00-07}_{06-07}_02_decomposedNeighborhoodSearch_20251018T123557830.log,{14-00-07}_{06-07}_02,decomposedNeighborhoodSearch,289.34769092,200.49,88.86,0.00,4.23,1
config_{14-00-07}_{06-07}_02_decomposedRandom_20251018T123823522.log,{14-00-07}_{06-07}_02,decomposedRandom,289.34769092,200.49,88.86,0.00,5.15,1
config_{14-00-07}_{06-07}_02_localRefinement_20251018T155117454.log,{14-00-07}_{06-07}_02,localRefinement,289.34769092,200.49,88.86,0.00,3.36,1
config_{14-00-07}_{06-07}_03_decomposedNeighborhoodSearch_20251018T123557830.log,{14-00-07}_{06-07}_03,decomposedNeighborhoodSearch,300.82812514,207.78,93.05,0.00,14.41,1
config_{14-00-07}_{06-07}_03_decomposedRandom_20251018T123823523.log,{14-00-07}_{06-07}_03,decomposedRandom,300.82812514,207.78,93.05,0.00,15.45,1
config_{14-00-07}_{06-07}_03_localRefinement_20251018T165118945.log,{14-00-07}_{06-07}_03,localRefinement,300.82812514,207.78,93.05,0.00,10.77,1
config_{14-00-07}_{06-07}_04_decomposedNeighborhoodSearch_20251018T123557830.log,{14-00-07}_{06-07}_04,decomposedNeighborhoodSearch,324.97429280,180.08,144.90,0.00,6.98,1
config_{14-00-07}_{06-07}_04_decomposedRandom_20251018T123823522.log,{14-00-07}_{06-07}_04,decomposedRandom,324.97429280,180.08,144.90,0.00,7.89,1
config_{14-00-07}_{06-07}_04_localRefinement_20251018T165119280.log,{14-00-07}_{06-07}_04,localRefinement,324.97429280,180.08,144.90,0.00,4.99,1
config_{14-00-07}_{06-07}_05_decomposedNeighborhoodSearch_20251018T123557830.log,{14-00-07}_{06-07}_05,decomposedNeighborhoodSearch,319.59570750,184.36,135.24,0.00,14.01,1
config_{14-00-07}_{06-07}_05_decomposedRandom_20251018T133824091.log,{14-00-07}_{06-07}_05,decomposedRandom,319.59570750,184.36,135.24,0.00,17.46,1
config_{14-00-07}_{06-07}_05_localRefinement_20251018T175120499.log,{14-00-07}_{06-07}_05,localRefinement,319.59570750,184.36,135.24,0.00,9.80,1
config_{16-00-08}_{06-08}_01_decomposedNeighborhoodSearch_20250905T003459321.log,{16-00-08}_{06-08}_01,decomposedNeighborhoodSearch,335.33493076,218.30,117.04,0.00,15.22,1
config_{16-00-08}_{06-08}_01_decomposedRandom_20250904T022511515.log,{16-00-08}_{06-08}_01,decomposedRandom,335.33493076,218.30,117.04,0.00,17.84,1
config_{16-00-08}_{06-08}_01_localRefinement_20250904T022527994.log,{16-00-08}_{06-08}_01,localRefinement,335.33493076,218.30,117.04,0.00,14.79,1
config_{16-00-08}_{06-08}_02_decomposedNeighborhoodSearch_20250905T003459769.log,{16-00-08}_{06-08}_02,decomposedNeighborhoodSearch,346.54478344,226.28,120.26,0.00,7.89,1
config_{16-00-08}_{06-08}_02_decomposedRandom_20250904T032511377.log,{16-00-08}_{06-08}_02,decomposedRandom,346.54478344,226.28,120.26,0.00,10.20,1
config_{16-00-08}_{06-08}_02_localRefinement_20250904T032528903.log,{16-00-08}_{06-08}_02,localRefinement,346.54478344,226.28,120.26,0.00,8.93,1
config_{16-00-08}_{06-08}_03_decomposedNeighborhoodSearch_20250905T003712550.log,{16-00-08}_{06-08}_03,decomposedNeighborhoodSearch,347.01160299,219.28,127.73,0.00,12.15,1
config_{16-00-08}_{06-08}_03_decomposedRandom_20250904T032511795.log,{16-00-08}_{06-08}_03,decomposedRandom,347.01160299,219.28,127.73,0.00,15.87,1
config_{16-00-08}_{06-08}_03_localRefinement_20250904T032530084.log,{16-00-08}_{06-08}_03,localRefinement,347.01160299,219.28,127.73,0.00,12.71,1
config_{16-00-08}_{06-08}_04_decomposedNeighborhoodSearch_20250905T004629779.log,{16-00-08}_{06-08}_04,decomposedNeighborhoodSearch,348.67897974,239.24,109.44,0.00,30.79,1
config_{16-00-08}_{06-08}_04_decomposedRandom_20250904T042511571.log,{16-00-08}_{06-08}_04,decomposedRandom,348.67897974,239.24,109.44,0.00,47.76,1
config_{16-00-08}_{06-08}_04_localRefinement_20250904T042531387.log,{16-00-08}_{06-08}_04,localRefinement,348.67897974,239.24,109.44,0.00,47.36,1
config_{16-00-08}_{06-08}_05_decomposedNeighborhoodSearch_20250905T004722186.log,{16-00-08}_{06-08}_05,decomposedNeighborhoodSearch,396.54088690,226.70,169.84,0.00,28.29,1
config_{16-00-08}_{06-08}_05_decomposedRandom_20250904T042512168.log,{16-00-08}_{06-08}_05,decomposedRandom,396.54088690,226.70,169.84,0.00,37.67,1
config_{16-00-08}_{06-08}_05_localRefinement_20250904T042532056.log,{16-00-08}_{06-08}_05,localRefinement,396.54088690,226.70,169.84,0.00,42.80,1
config_{18-00-09}_{06-09}_01_decomposedNeighborhoodSearch_20251018T133558202.log,{18-00-09}_{06-09}_01,decomposedNeighborhoodSearch,387.93392334,290.91,97.02,0.00,24.56,1
config_{18-00-09}_{06-09}_01_decomposedRandom_20251018T133824754.log,{18-00-09}_{06-09}_01,decomposedRandom,387.93392334,290.91,97.02,0.00,27.00,1
config_{18-00-09}_{06-09}_01_localRefinement_20251018T175120749.log,{18-00-09}_{06-09}_01,localRefinement,387.93392334,290.91,97.02,0.00,15.10,1
config_{18-00-09}_{06-09}_02_decomposedNeighborhoodSearch_20251018T133558374.log,{18-00-09}_{06-09}_02,decomposedNeighborhoodSearch,484.42109743,308.43,175.99,0.00,50.73,1
config_{18-00-09}_{06-09}_02_decomposedRandom_20251018T133824800.log,{18-00-09}_{06-09}_02,decomposedRandom,484.42109743,308.43,175.99,0.00,47.66,1
config_{18-00-09}_{06-09}_02_localRefinement_20251018T185121900.log,{18-00-09}_{06-09}_02,localRefinement,484.42109743,308.43,175.99,0.00,35.57,1
config_{18-00-09}_{06-09}_03_decomposedNeighborhoodSearch_20251018T133558421.log,{18-00-09}_{06-09}_03,decomposedNeighborhoodSearch,457.25276131,299.75,157.50,0.00,59.94,1
config_{18-00-09}_{06-09}_03_decomposedRandom_20251018T133824803.log,{18-00-09}_{06-09}_03,decomposedRandom,457.25276131,299.75,157.50,0.00,54.96,1
config_{18-00-09}_{06-09}_03_localRefinement_20251018T185123476.log,{18-00-09}_{06-09}_03,localRefinement,457.25276131,299.75,157.50,0.00,43.65,1
config_{18-00-09}_{06-09}_04_decomposedNeighborhoodSearch_20251018T133558459.log,{18-00-09}_{06-09}_04,decomposedNeighborhoodSearch,419.09047784,283.86,135.23,0.00,61.91,1
config_{18-00-09}_{06-09}_04_decomposedRandom_20251018T143824339.log,{18-00-09}_{06-09}_04,decomposedRandom,419.09047784,283.86,135.23,0.00,39.30,1
config_{18-00-09}_{06-09}_04_localRefinement_20251018T195124707.log,{18-00-09}_{06-09}_04,localRefinement,419.09047784,283.86,135.23,0.00,40.16,1
config_{18-00-09}_{06-09}_05_decomposedNeighborhoodSearch_20251018T133558629.log,{18-00-09}_{06-09}_05,decomposedNeighborhoodSearch,404.35979654,234.48,169.88,0.00,14.47,1
config_{18-00-09}_{06-09}_05_decomposedRandom_20251018T143825141.log,{18-00-09}_{06-09}_05,decomposedRandom,404.35979654,234.48,169.88,0.00,9.51,1
config_{18-00-09}_{06-09}_05_localRefinement_20251018T195126155.log,{18-00-09}_{06-09}_05,localRefinement,404.35979654,234.48,169.88,0.00,13.01,1
config_{20-00-10}_{06-10}_01_decomposedNeighborhoodSearch_20250905T004754196.log,{20-00-10}_{06-10}_01,decomposedNeighborhoodSearch,512.01876425,332.96,179.06,0.00,32.21,1
config_{20-00-10}_{06-10}_01_decomposedRandom_20250904T052511916.log,{20-00-10}_{06-10}_01,decomposedRandom,512.01876425,332.96,179.06,0.00,42.41,1
config_{20-00-10}_{06-10}_01_localRefinement_20250904T052533320.log,{20-00-10}_{06-10}_01,localRefinement,512.01876425,332.96,179.06,0.00,43.12,1
config_{20-00-10}_{06-10}_02_decomposedNeighborhoodSearch_20250905T010423678.log,{20-00-10}_{06-10}_02,decomposedNeighborhoodSearch,505.60775785,299.55,206.06,0.00,12.64,1
config_{20-00-10}_{06-10}_02_decomposedRandom_20250904T052513188.log,{20-00-10}_{06-10}_02,decomposedRandom,505.60775785,299.55,206.06,0.00,15.01,1
config_{20-00-10}_{06-10}_02_localRefinement_20250904T052534320.log,{20-00-10}_{06-10}_02,localRefinement,505.60775785,299.55,206.06,0.00,17.88,1
config_{20-00-10}_{06-10}_03_decomposedNeighborhoodSearch_20250905T013459018.log,{20-00-10}_{06-10}_03,decomposedNeighborhoodSearch,485.95009042,329.66,136.29,20.00,22.48,1
config_{20-00-10}_{06-10}_03_decomposedRandom_20250904T062512574.log,{20-00-10}_{06-10}_03,decomposedRandom,485.95009042,329.66,136.29,20.00,29.14,1
config_{20-00-10}_{06-10}_03_localRefinement_20250904T062537000.log,{20-00-10}_{06-10}_03,localRefinement,485.95009042,329.66,136.29,20.00,27.11,1
config_{20-00-10}_{06-10}_04_decomposedNeighborhoodSearch_20250905T013459414.log,{20-00-10}_{06-10}_04,decomposedNeighborhoodSearch,459.95525519,308.15,151.81,0.00,31.82,1
config_{20-00-10}_{06-10}_04_decomposedRandom_20250904T062513861.log,{20-00-10}_{06-10}_04,decomposedRandom,459.95525519,308.15,151.81,0.00,38.45,1
config_{20-00-10}_{06-10}_04_localRefinement_20250904T062537984.log,{20-00-10}_{06-10}_04,localRefinement,459.95525519,308.15,151.81,0.00,37.13,1
config_{20-00-10}_{06-10}_05_decomposedNeighborhoodSearch_20250905T013459920.log,{20-00-10}_{06-10}_05,decomposedNeighborhoodSearch,496.29280845,312.45,183.84,0.00,7.74,1
config_{20-00-10}_{06-10}_05_decomposedRandom_20250904T072512810.log,{20-00-10}_{06-10}_05,decomposedRandom,496.29280845,312.45,183.84,0.00,6.80,1
config_{20-00-10}_{06-10}_05_localRefinement_20250904T072540368.log,{20-00-10}_{06-10}_05,localRefinement,496.29280845,312.45,183.84,0.00,6.61,1
